qi1vsqi2	qi1	qi2	Problem	pairAlgs	AlgA	AlgB	resQI1	resQI2	Agree
IGDvsEP	IGD	EP	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	B	TRUE
IGDvsGD	IGD	GD	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	B	TRUE
IGDvsGS	IGD	GS	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	A	FALSE
IGDvsED	IGD	ED	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	A	FALSE
IGDvsPFS	IGD	PFS	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	B	TRUE
IGDvsC	IGD	C	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	ND	FALSE
EPvsGD	EP	GD	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	B	TRUE
EPvsGS	EP	GS	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	A	FALSE
EPvsED	EP	ED	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	A	FALSE
EPvsPFS	EP	PFS	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	B	TRUE
EPvsC	EP	C	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	ND	FALSE
GDvsGS	GD	GS	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	A	FALSE
GDvsED	GD	ED	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	A	FALSE
GDvsPFS	GD	PFS	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	B	TRUE
GDvsC	GD	C	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	ND	FALSE
GSvsED	GS	ED	RA	CELLDE_SPEA2	CELLDE	SPEA2	A	A	TRUE
GSvsPFS	GS	PFS	RA	CELLDE_SPEA2	CELLDE	SPEA2	A	B	FALSE
GSvsC	GS	C	RA	CELLDE_SPEA2	CELLDE	SPEA2	A	ND	FALSE
EDvsPFS	ED	PFS	RA	CELLDE_SPEA2	CELLDE	SPEA2	A	B	FALSE
EDvsC	ED	C	RA	CELLDE_SPEA2	CELLDE	SPEA2	A	ND	FALSE
PFSvsC	PFS	C	RA	CELLDE_SPEA2	CELLDE	SPEA2	B	ND	FALSE
HVvsIGD	HV	IGD	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
HVvsEP	HV	EP	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
HVvsGD	HV	GD	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
HVvsGS	HV	GS	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
HVvsED	HV	ED	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
HVvsPFS	HV	PFS	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
HVvsC	HV	C	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
IGDvsEP	IGD	EP	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
IGDvsGD	IGD	GD	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
IGDvsGS	IGD	GS	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
IGDvsED	IGD	ED	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
IGDvsPFS	IGD	PFS	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
IGDvsC	IGD	C	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
EPvsGD	EP	GD	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
EPvsGS	EP	GS	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
EPvsED	EP	ED	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
EPvsPFS	EP	PFS	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
EPvsC	EP	C	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
GDvsGS	GD	GS	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
GDvsED	GD	ED	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
GDvsPFS	GD	PFS	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
GDvsC	GD	C	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
GSvsED	GS	ED	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
GSvsPFS	GS	PFS	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
GSvsC	GS	C	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
EDvsPFS	ED	PFS	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
EDvsC	ED	C	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
PFSvsC	PFS	C	RA	MOCELL_NSGAII	MOCELL	NSGAII	B	B	TRUE
HVvsIGD	HV	IGD	RA	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
HVvsEP	HV	EP	RA	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
HVvsGD	HV	GD	RA	MOCELL_PAES	MOCELL	PAES	A	B	FALSE
HVvsGS	HV	GS	RA	MOCELL_PAES	MOCELL	PAES	A	B	FALSE
HVvsED	HV	ED	RA	MOCELL_PAES	MOCELL	PAES	A	B	FALSE
HVvsPFS	HV	PFS	RA	MOCELL_PAES	MOCELL	PAES	A	B	FALSE
HVvsC	HV	C	RA	MOCELL_PAES	MOCELL	PAES	A	ND	FALSE
IGDvsEP	IGD	EP	RA	MOCELL_PAES	MOCELL	PAES	A	A	TRUE
IGDvsGD	IGD	GD	RA	MOCELL_PAES	MOCELL	PAES	A	B	FALSE
IGDvsGS	IGD	GS	RA	MOCELL_PAES	MOCELL	PAES	A	B	FALSE
IGDvsED	IGD	ED	RA	MOCELL_PAES	MOCELL	PAES	A	B	FALSE
IGDvsPFS	IGD	PFS	RA	MOCELL_PAES	MOCELL	PAES	A	B	FALSE
IGDvsC	IGD	C	RA	MOCELL_PAES	MOCELL	PAES	A	ND	FALSE
EPvsGD	EP	GD	RA	MOCELL_PAES	MOCELL	PAES	A	B	FALSE
EPvsGS	EP	GS	RA	MOCELL_PAES	MOCELL	PAES	A	B	FALSE
EPvsED	EP	ED	RA	MOCELL_PAES	MOCELL	PAES	A	B	FALSE
EPvsPFS	EP	PFS	RA	MOCELL_PAES	MOCELL	PAES	A	B	FALSE
EPvsC	EP	C	RA	MOCELL_PAES	MOCELL	PAES	A	ND	FALSE
GDvsGS	GD	GS	RA	MOCELL_PAES	MOCELL	PAES	B	B	TRUE
GDvsED	GD	ED	RA	MOCELL_PAES	MOCELL	PAES	B	B	TRUE
GDvsPFS	GD	PFS	RA	MOCELL_PAES	MOCELL	PAES	B	B	TRUE
GDvsC	GD	C	RA	MOCELL_PAES	MOCELL	PAES	B	ND	FALSE
GSvsED	GS	ED	RA	MOCELL_PAES	MOCELL	PAES	B	B	TRUE
GSvsPFS	GS	PFS	RA	MOCELL_PAES	MOCELL	PAES	B	B	TRUE
GSvsC	GS	C	RA	MOCELL_PAES	MOCELL	PAES	B	ND	FALSE
EDvsPFS	ED	PFS	RA	MOCELL_PAES	MOCELL	PAES	B	B	TRUE
EDvsC	ED	C	RA	MOCELL_PAES	MOCELL	PAES	B	ND	FALSE
PFSvsC	PFS	C	RA	MOCELL_PAES	MOCELL	PAES	B	ND	FALSE
HVvsIGD	HV	IGD	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	A	TRUE
HVvsEP	HV	EP	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	A	TRUE
HVvsGD	HV	GD	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	B	FALSE
HVvsGS	HV	GS	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	B	FALSE
HVvsED	HV	ED	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	B	FALSE
HVvsPFS	HV	PFS	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	B	FALSE
HVvsC	HV	C	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	ND	FALSE
IGDvsEP	IGD	EP	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	A	TRUE
IGDvsGD	IGD	GD	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	B	FALSE
IGDvsGS	IGD	GS	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	B	FALSE
IGDvsED	IGD	ED	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	B	FALSE
IGDvsPFS	IGD	PFS	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	B	FALSE
IGDvsC	IGD	C	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	ND	FALSE
EPvsGD	EP	GD	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	B	FALSE
EPvsGS	EP	GS	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	B	FALSE
EPvsED	EP	ED	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	B	FALSE
EPvsPFS	EP	PFS	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	B	FALSE
EPvsC	EP	C	RA	MOCELL_SMPSO	MOCELL	SMPSO	A	ND	FALSE
GDvsGS	GD	GS	RA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
GDvsED	GD	ED	RA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
GDvsPFS	GD	PFS	RA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
GDvsC	GD	C	RA	MOCELL_SMPSO	MOCELL	SMPSO	B	ND	FALSE
GSvsED	GS	ED	RA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
GSvsPFS	GS	PFS	RA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
GSvsC	GS	C	RA	MOCELL_SMPSO	MOCELL	SMPSO	B	ND	FALSE
EDvsPFS	ED	PFS	RA	MOCELL_SMPSO	MOCELL	SMPSO	B	B	TRUE
EDvsC	ED	C	RA	MOCELL_SMPSO	MOCELL	SMPSO	B	ND	FALSE
PFSvsC	PFS	C	RA	MOCELL_SMPSO	MOCELL	SMPSO	B	ND	FALSE
HVvsIGD	HV	IGD	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsEP	HV	EP	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsGD	HV	GD	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsGS	HV	GS	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsED	HV	ED	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsPFS	HV	PFS	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
HVvsC	HV	C	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
IGDvsEP	IGD	EP	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
IGDvsGD	IGD	GD	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
IGDvsGS	IGD	GS	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
IGDvsED	IGD	ED	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
IGDvsPFS	IGD	PFS	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
IGDvsC	IGD	C	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
EPvsGD	EP	GD	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
EPvsGS	EP	GS	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
EPvsED	EP	ED	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
EPvsPFS	EP	PFS	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
EPvsC	EP	C	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
GDvsGS	GD	GS	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
GDvsED	GD	ED	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
GDvsPFS	GD	PFS	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
GDvsC	GD	C	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
GSvsED	GS	ED	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
GSvsPFS	GS	PFS	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
GSvsC	GS	C	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
EDvsPFS	ED	PFS	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	B	TRUE
EDvsC	ED	C	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
PFSvsC	PFS	C	RA	MOCELL_SPEA2	MOCELL	SPEA2	B	ND	FALSE
HVvsIGD	HV	IGD	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsEP	HV	EP	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsGD	HV	GD	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsGS	HV	GS	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsED	HV	ED	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
HVvsPFS	HV	PFS	RA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
HVvsC	HV	C	RA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
IGDvsEP	IGD	EP	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
IGDvsGD	IGD	GD	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
IGDvsGS	IGD	GS	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
IGDvsED	IGD	ED	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
IGDvsPFS	IGD	PFS	RA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
IGDvsC	IGD	C	RA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
EPvsGD	EP	GD	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
EPvsGS	EP	GS	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
EPvsED	EP	ED	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
EPvsPFS	EP	PFS	RA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
EPvsC	EP	C	RA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
GDvsGS	GD	GS	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
GDvsED	GD	ED	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
GDvsPFS	GD	PFS	RA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
GDvsC	GD	C	RA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
GSvsED	GS	ED	RA	NSGAII_PAES	NSGAII	PAES	A	A	TRUE
GSvsPFS	GS	PFS	RA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
GSvsC	GS	C	RA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
EDvsPFS	ED	PFS	RA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
EDvsC	ED	C	RA	NSGAII_PAES	NSGAII	PAES	A	ND	FALSE
PFSvsC	PFS	C	RA	NSGAII_PAES	NSGAII	PAES	ND	ND	TRUE
HVvsIGD	HV	IGD	RA	NSGAII_SMPSO	NSGAII	SMPSO	A	A	TRUE
HVvsEP	HV	EP	RA	NSGAII_SMPSO	NSGAII	SMPSO	A	A	TRUE
HVvsGD	HV	GD	RA	NSGAII_SMPSO	NSGAII	SMPSO	A	A	TRUE
HVvsGS	HV	GS	RA	NSGAII_SMPSO	NSGAII	SMPSO	A	A	TRUE
HVvsED	HV	ED	RA	NSGAII_SMPSO	NSGAII	SMPSO	A	B	FALSE
HVvsPFS	HV	PFS	RA	NSGAII_SMPSO	NSGAII	SMPSO	A	A	TRUE
HVvsC	HV	C	RA	NSGAII_SMPSO	NSGAII	SMPSO	A	A	TRUE
